,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
1285,lenovo,18825.0,1792.0,14.0,1920,1200,16.0,512.0,Windows 11,1.38,885.13,amd,radeon
1286,dell,28003.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 11,3.64,1149.99,intel,intel
1287,lenovo,13554.0,2690.0,14.0,1920,1200,8.0,256.0,Windows 10,1.38,1019.0,intel,intel
1288,panasonic,10779.0,586.0,14.0,1366,768,16.0,1024.0,Windows 10,1.98,689.99,intel,intel
1289,asus,29690.0,19560.0,14.5,2560,1600,32.0,1024.0,Windows 11,4.45,2299.0,intel,geforce
1290,lenovo,2991.0,1476.0,14.0,1366,768,16.0,500.0,Windows 10,2.25,234.98,intel,intel
1291,dell,13554.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.24,809.0,intel,intel
1292,msi,23276.0,7320.0,15.6,1920,1080,24.0,1024.0,Windows 11,1.64,1369.0,intel,geforce
1293,acer,8473.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 11,2.3,1119.0,intel,geforce
1294,lenovo,44977.0,26876.0,16.0,2560,1600,64.0,4096.0,Windows 11,2.55,2879.0,intel,geforce
1295,microsoft,14043.0,1971.0,13.5,2256,1504,16.0,512.0,Windows 10,1.3,1835.05,intel,intel
1296,dell,26423.0,17089.0,17.0,3840,2400,64.0,4096.0,Windows 11,2.43,2803.22,intel,geforce
1297,hp,18825.0,2040.0,17.3,1920,1080,12.0,512.0,Windows 11,2.09,649.49,amd,ryzen
1298,acer,9475.0,240.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.78,559.99,amd,radeon
1299,hp,13144.0,1792.0,17.3,1920,1080,16.0,512.0,Windows 10,2.1,599.0,amd,radeon
1300,acer,20753.0,17089.0,16.0,2560,1600,16.0,1024.0,Windows 10,2.56,1549.0,intel,geforce
1301,lenovo,6132.0,1476.0,15.6,1920,1080,4.0,256.0,Windows 11,0.97,555.0,intel,intel
1302,dell,13775.0,2690.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.06,1199.0,intel,intel
1303,lenovo,32744.0,13772.0,16.0,2560,1600,16.0,512.0,Windows 11,2.68,1911.29,intel,rtx
1304,dell,23062.0,1476.0,13.3,1920,1080,16.0,512.0,Windows 10,1.13,764.6,intel,intel
