,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
106,GIGABYTE,G5 KF5,Intel Core i7 Family Intel Core i7-12650H 2.4 GHz,NVIDIA GeForce RTX 4060,32 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 10 Pro,,1309.0
107,Dell,Dell Latitude 7310 Laptop,Intel Intel Core i5 i5-10310U 2.5 GHz,Intel UHD Graphics,8 GB,13.3 Inches,"13.3"" FHD ( 1920 x 1080 ) Non-Touch Diplay",256 GB SSD,Windows 10 Pro,4.5 Pounds,397.0
108,HP,7PL17UA#ABL,Intel Core i3-1005G1 1.2 GHz,Intel UHD Graphics,8 GB,15.6 Inches,1366 x 768 pixels,256 GB SSD,Windows 10 Home,3.75 Pounds,360.0
109,Dell,Dell G15 5520 Gaming Notebook,"Intel Core i7 Family 12th Generation Intel Core i7-12700H (24MB Cache, up to 4.7 GHz, 14 cores) 4.7 GHz",NVIDIA GeForce RTX 3060,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,5.55 Pounds,1024.99
110,DELL,G7620 16 inch,Intel Intel Core i9 Intel Core i9-12900H 3.1 GHz,NVIDIA GeForce RTX 3070,32 GB,16 Inches,2560 x 1600,1 TB SSD,Windows 10 Home,,1949.0
111,HP,16T-N000,AMD Ryzen 7 Ryzen 9 6800H 3.2 GHz,NVIDIA GeForce RTX 3060,32 GB,16.1 Inches,1920x1080,1 TB SSD,Windows 11 Pro,6 Pounds,1559.0
112,DELL,V7620,Intel Core i7 Family Intel Core i7-12700H 2.3 GHz,NVIDIA GeForce RTX 3050 4GB DDR6,24 GB,16 Inches,1920x1200,1 TB SSD,Windows 11 Pro,4.1 Pounds,1009.99
113,Dell,XPS 15,Intel Core i7 Family Intel Core i7-13700H 2.9 GHz,Intel Arc A370M,32 GB,15.6 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,4.2 Pounds,1909.99
114,HP,Envy 16-H100,Intel Intel Core i9 Intel Core i9-13900H 3.1 GHz,NVIDIA GeForce RTX 4060,32 GB,16 Inches,2560 x 1600,1 TB SSD,Windows 11 Pro,5.9 Pounds,1899.0
115,MSI,Sword 15 A12VE,Intel Core i7 Family Intel Core i7-12650H 2.5 GHz,NVIDIA GeForce RTX 4050,32 GB,15.6 Inches,1920 x 1080,1 TB SSD,Windows 11 Home,,1369.0
116,ASUS,Vivobook 16X,Intel Intel Core i9 Intel Core i9-13900H 2.9 GHz,NVIDIA GeForce RTX 4050,32 GB,16 Inches,1920 x 1200,2 TB SSD,Windows 11 Pro,4 Pounds,1829.0
117,GIGABYTE,G5 KF5,Intel Core i7 Family Intel Core i7-12650H 2.6 GHz,NVIDIA GeForce RTX 4060,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Home,,999.49
118,HP,17-CH200,Intel Core i7 Family Intel Core i7-1255U 1.7 GHz,Nvidia Geforce MX550 2GB,20 GB,17.3 Inches,1920x1080,1 TB SSD,Windows 11 Pro,5.6 Pounds,1549.99
119,Dell,XPS 9520,Intel Core i7 Family Intel Core i7-12700H 2.9 GHz,NVIDIA GeForce RTX 3050 Ti,48 GB,15.6 Inches,1920 x 1200,2 TB SSD,Windows 11 Pro,,2579.0
120,ASUS,Vivobook 16X,Intel Intel Core i9 Intel Core i9-13900H 2.9 GHz,NVIDIA GeForce RTX 4050,32 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,4 Pounds,1579.0
121,ASUS,Vivobook 16X,Intel Intel Core i9 Intel Core i9-13900H 3 GHz,NVIDIA GeForce RTX 4050,48 GB,16 Inches,1920 x 1200,1 TB SSD,Windows 11 Pro,,1789.0
122,MSI,MSI Sword 15,Intel Core i7 12650H 4.7 GHz,NVIDIA GeForce RTX 4060,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,5 Pounds,1089.49
123,SAMSUNG,Galaxy Book2 Pro,Intel Core i7,Intel ARC A350M,1 TB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows,2.5 Pounds,1699.99
